Scopus-10-Analyze-Year

"Your query : ((TITLE-ABS-KEY(Intelligent Transportation Systems)) AND (traffic state prediction) AND ( LIMIT-TO ( DOCTYPE,""ar"" ) ) )"


Number of results : 10

"YEAR",
"2026","24"
"2025","1026"
"2024","690"
"2023","583"
"2022","504"
"2021","309"
"2020","291"
"2019","213"
"2018","139"
"2017","97"
"2016","106"
"2015","98"
"2014","58"
"2013","36"
"2012","46"
"2011","28"
"2010","20"
"2009","22"
"2008","20"
"2007","12"
"2006","14"
"2005","10"
"2004","10"
"2003","7"
"2002","2"
"2001","4"
"2000","7"
"1999","7"
"1998","6"
"1997","3"
"1996","4"
"1995","1"
"1994","1"
"1993","2"
